# 
# 03/27/2023 14:52:28
# The parameters defined in the project are:
# ,P1 - aoa [degree],P2 - lift [N],P3 - drag [N],P4 - pitch [J]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,0,-0.000599076,0.00425555,7.85544E-05
DP 1,1,0.0194424,0.00455482,-0.00183925
DP 2,2,0.0392513,0.00569094,-0.00372423
DP 3,3,0.0597548,0.00725925,-0.00570119
DP 4,4,0.0806605,0.0097026,-0.00785493
DP 5,5,0.100421,0.012737,-0.00976905
DP 6,6,0.121134,0.0165707,-0.0117404
DP 7,7,0.142315,0.0211331,-0.0139896
DP 8,8,0.160186,0.0259187,-0.0156564
DP 9,9,0.179888,0.0318839,-0.017666
DP 10,10,0.199872,0.0382878,-0.0199378
DP 11,11,0.219098,0.0455105,-0.0219632
DP 12,12,0.236617,0.0530728,-0.0237098
DP 13,13,0.251899,0.0608497,-0.0256361
DP 14,14,0.269751,0.0697399,-0.0278306
DP 15,15,0.285592,0.0789043,-0.0302164
DP 16,16,0.307629,0.0903084,-0.0337616
DP 17,17,0.319203,0.099533,-0.0359081
DP 18,18,0.335929,0.111273,-0.0366332
DP 19,19,0.342496,0.119749,-0.0383424
DP 20,20,0.347188,0.128088,-0.039332
DP 21,21,0.364363,0.141294,-0.042281
DP 22,22,0.36093,0.147567,-0.0423711
DP 23,23,0.363678,0.155765,-0.0442387
DP 24,24,0.349142,0.156872,-0.044066
DP 25,25,0.365383,0.171909,-0.04602
DP 26,26,0.361935,0.177917,-0.0468762
DP 27,27,0.351655,0.180476,-0.0456692
DP 28,28,0.335197,0.179448,-0.0451396
DP 29,29,0.320026,0.178899,-0.0441885
DP 30,30,0.34916,0.203002,-0.0478184
DP 31,31,0.327888,0.198221,-0.0461542
DP 32,32,0.312553,0.196868,-0.0450726
DP 33,33,0.311517,0.203678,-0.0446899
DP 34,34,0.313335,0.212689,-0.0463243
DP 35,35,0.31394,0.22118,-0.0469206
DP 36,36,0.314449,0.229556,-0.0476123
DP 37,37,0.311768,0.235916,-0.0477907
DP 38,38,0.315185,0.247254,-0.0491962
DP 39,39,0.313002,0.254278,-0.0492646
DP 40,40,0.313538,0.264034,-0.0503671
DP 41,41,0.315864,0.275087,-0.0516643
DP 42,42,0.317049,0.285985,-0.0523003
DP 43,43,0.313348,0.292678,-0.0527026
DP 44,44,0.316008,0.3057,-0.0542434
DP 45,45,0.308958,0.309336,-0.0537517
DP 46,46,0.309923,0.32111,-0.0548038
DP 47,47,0.304615,0.327078,-0.0550719
DP 48,48,0.302628,0.33603,-0.0558043
DP 49,49,0.30217,0.347694,-0.0567711
DP 50,50,0.295376,0.35197,-0.0567323
DP 51,51,0.286061,0.352733,-0.05633
DP 52,52,0.279867,0.358093,-0.0559607
DP 53,53,0.282641,0.374913,-0.0582387
DP 54,54,0.280071,0.385436,-0.0593792
DP 55,55,0.270139,0.385308,-0.0583429
DP 56,56,0.263575,0.39026,-0.058461
DP 57,57,0.259476,0.399068,-0.0594075
DP 58,58,0.258244,0.412637,-0.0609159
DP 59,59,0.248404,0.412654,-0.0604755
DP 60,60,0.243575,0.421147,-0.0610292
DP 61,61,0.237863,0.428494,-0.0616865
DP 62,62,0.229498,0.43083,-0.0612991
DP 63,63,0.225668,0.44158,-0.062482
DP 64,64,0.218108,0.445659,-0.0626522
DP 65,65,0.206904,0.442454,-0.061679
DP 66,66,0.202798,0.453888,-0.0631814
DP 67,67,0.194371,0.456854,-0.0631311
DP 68,68,0.187146,0.461739,-0.0634035
DP 69,69,0.176516,0.458137,-0.0625071
DP 70,70,0.17096,0.467795,-0.0635168
DP 71,71,0.16147,0.466806,-0.0631483
DP 72,72,0.155104,0.475403,-0.0641585
DP 73,73,0.147242,0.479654,-0.0647118
DP 74,74,0.137844,0.478079,-0.0643664
DP 75,75,0.129818,0.481895,-0.0644056
DP 76,76,0.120706,0.481975,-0.0643541
DP 77,77,0.113183,0.487344,-0.0649102
DP 78,78,0.104453,0.488683,-0.0652115
DP 79,79,0.0959484,0.490122,-0.0654628
DP 80,80,0.0869451,0.489669,-0.0653246
DP 81,81,0.0786953,0.493191,-0.0655548
DP 82,82,0.0700069,0.493173,-0.0654364
DP 83,83,0.0611877,0.493712,-0.0659028
DP 84,84,0.0527156,0.495556,-0.0659241
DP 85,85,0.0437633,0.492374,-0.0655818
DP 86,86,0.0354485,0.49678,-0.0665142
DP 87,87,0.026542,0.497914,-0.0672309
DP 88,88,0.0176346,0.494408,-0.066681
DP 89,89,0.00919138,0.499512,-0.0674751
DP 90,90,0.000377771,0.496103,-0.0675656
DP 91,91,-0.00830994,0.496838,-0.0679184
DP 92,92,-0.0171361,0.495983,-0.0682061
DP 93,93,-0.0258169,0.495975,-0.0683848
DP 94,94,-0.0351646,0.503232,-0.0698173
DP 95,95,-0.043511,0.498165,-0.0693136
DP 96,96,-0.0529113,0.50359,-0.070252
DP 97,97,-0.0615456,0.501643,-0.0701927
DP 98,98,-0.0703862,0.501122,-0.0707006
DP 99,99,-0.0787395,0.498349,-0.0706322
DP 100,100,-0.0868685,0.493293,-0.0699414
DP 101,101,-0.0954011,0.491457,-0.0701357
DP 102,102,-0.103148,0.486851,-0.0698807
DP 103,103,-0.113731,0.49274,-0.0711645
DP 104,104,-0.122156,0.49031,-0.0711245
DP 105,105,-0.129564,0.483818,-0.0708892
DP 106,106,-0.137701,0.480382,-0.0710043
DP 107,107,-0.147134,0.481762,-0.0717271
DP 108,108,-0.156444,0.481759,-0.0722196
DP 109,109,-0.163594,0.475435,-0.071852
DP 110,110,-0.171084,0.470397,-0.0715434
DP 111,111,-0.180183,0.470064,-0.0721261
DP 112,112,-0.188651,0.467599,-0.0723069
DP 113,113,-0.195842,0.461873,-0.0721278
DP 114,114,-0.200922,0.451796,-0.0712109
DP 115,115,-0.210066,0.451048,-0.0717817
DP 116,116,-0.216795,0.445307,-0.0716302
DP 117,117,-0.224801,0.44196,-0.0718077
DP 118,118,-0.232492,0.437953,-0.071848
DP 119,119,-0.236712,0.427778,-0.0709123
DP 120,120,-0.244485,0.424396,-0.071148
DP 121,121,-0.251425,0.419293,-0.071263
DP 122,122,-0.257446,0.412776,-0.0711029
DP 123,123,-0.265535,0.409847,-0.0712867
DP 124,124,-0.26579,0.394973,-0.0697143
DP 125,125,-0.275204,0.393977,-0.0705058
DP 126,126,-0.28477,0.39298,-0.0710707
